rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city
96,https://www.inc.com/profile/amenity-health,Amenity Health,amenityhealth.com,CA,153,3357.7038,Health,16,8,2011,1,San Diego,San Diego
97,https://www.inc.com/profile/payability,Payability,http://payability.com,NY,137,3350.0091,Financial Services,54,10,2014,1,New York City,New York
98,https://www.inc.com/profile/eagle-transport-and-logistics,Eagle Transport and Logistics,theeagletransport.com,OH,48,3339.6237,Logistics & Transportation,35,1,2014,1,"Columbus, OH",Columbus
99,https://www.inc.com/profile/shipbob,ShipBob,shipbob.com,IL,342,3325.7138,Logistics & Transportation,450,25,2014,1,Chicago,Chicago
101,https://www.inc.com/profile/lendingone,LendingOne,lendingone.com,FL,139,3279.2231,Financial Services,50,18,2014,1,Miami,Boca Raton
102,https://www.inc.com/profile/ownbackup,OwnBackup,ownbackup.com,NJ,9,3244.549,Software,86,4,2015,1,New York City,Fort Lee
103,https://www.inc.com/profile/invictus-international-consulting,Invictus International Consulting,http://invictusic.com,VA,33,3215.1141,Government Services,151,24,2014,1,"Washington, DC",Alexandria
104,https://www.inc.com/profile/go-energistics,Go Energistics,goenergistics.com,TX,144,3210.2557,Construction,46,1,2011,1,Dallas,Colleyville
105,https://www.inc.com/profile/total-expert,Total Expert,totalexpert.com,MN,111,3205.607,Software,180,12,2014,2,Minneapolis,Minneapolis
106,https://www.inc.com/profile/buzzybooth,BuzzyBooth,http://buzzybooth.com,CA,35,3201.1488,Business Products & Services,18,3,2015,1,Los Angeles,Santa Monica
108,https://www.inc.com/profile/cognira,Cognira,http://cognira.com,GA,76,3135.6529,Software,50,8,2015,1,Atlanta,Atlanta
109,https://www.inc.com/profile/b3-group,B3 Group,b3groupinc.com,VA,593,3134.4692,Government Services,145,17,2008,3,"Washington, DC",Herndon
110,https://www.inc.com/profile/inspiranza-designs,Inspiranza Designs,inspiranzadesigns.com,IL,47,3099.3348,Retail,10,2,2005,2,"St. Louis, MO-IL",Columbia
112,https://www.inc.com/profile/cience-technologies,Cience Technologies,http://cience.com,CA,38,3050.0025,Advertising & Marketing,310,30,2015,1,San Diego,Solana Beach
113,https://www.inc.com/profile/austin-cryo-ventures,Austin Cryo Ventures,http://restorecryotherapy.com,TX,51,3031.4203,Health,15,2,2015,1,Austin,Austin
114,https://www.inc.com/profile/sweet-lorens,Sweet Loren's,http://sweetlorens.com,NY,64,3026.3532,Food & Beverage,5,3,2010,1,New York City,New York
115,https://www.inc.com/profile/copper,Copper,http://copper.com,CA,19,3023.1328,Software,191,46,2013,1,San Francisco,San Francisco
116,https://www.inc.com/profile/5-star-roofing-and-restoration,5 Star Roofing and Restoration,5starroofer.com,AL,33,2994.2888,Construction,40,1,2015,1,"Birmingham, AL",Birmingham
117,https://www.inc.com/profile/digitalcrafts,DigitalCrafts,http://digitalcrafts.com,GA,31,2957.353,Education,30,3,2015,1,Atlanta,Atlanta
118,https://www.inc.com/profile/loadup-technologies,LoadUp Technologies,http://goloadup.com,GA,37,2938.5449,Logistics & Transportation,15,1,2014,1,Atlanta,Atlanta
119,https://www.inc.com/profile/skillset-group,SkillSet Group,skillsetgroup.com,CA,236,2911.1746,Human Resources,740,5,2013,2,Los Angeles,Santa Ana
121,https://www.inc.com/profile/bamfi,BAMFi,bamfi.com,GA,123,2861.2369,Financial Services,66,12,2012,1,Atlanta,Atlanta
122,https://www.inc.com/profile/potoo,Potoo,potoosolutions.com,CT,66,2812.6796,Business Products & Services,60,15,2014,1,"Bridgeport-Stamford-Norwalk, CT",Norwalk
123,https://www.inc.com/profile/parsons-xtreme-golf,Parsons Xtreme Golf,pxg.com,AZ,79,2804.9504,Consumer Products & Services,196,32,2014,1,Phoenix,Scottsdale
124,https://www.inc.com/profile/onfleet,Onfleet,http://onfleet.com,CA,35,2795.4057,Logistics & Transportation,19,7,2012,1,San Francisco,San Francisco
125,https://www.inc.com/profile/patientpop,PatientPop,http://patientpop.com,CA,388,2781.5682,Health,375,75,2014,1,Los Angeles,Santa Monica
126,https://www.inc.com/profile/gravity-resources,Gravity IT Resources,http://gravityitresources.com,FL,47,2773.5884,Business Products & Services,25,5,2015,1,Miami,Fort Lauderdale
128,https://www.inc.com/profile/equity-help,Equity & Help,equityandhelp.com,FL,32,2729.3507,Business Products & Services,20,4,2014,1,Tampa,Clearwater
129,https://www.inc.com/profile/ridgeline-international,Ridgeline International,ridgelineintl.com,VA,30,2728.9886,Telecommunications,125,8,2015,1,"Washington, DC",Tysons Corner
130,https://www.inc.com/profile/china-metal-solutions,China Metal Solutions,chinametalsolutions.com,IL,31,2704.9665,Manufacturing,5,1,2015,1,Chicago,Chicago
131,https://www.inc.com/profile/bluesky-resource-solutions,BlueSky Resource Solutions,http://blueskyrs.com,GA,67,2696.6319,Business Products & Services,98,12,2013,1,Atlanta,Atlanta
132,https://www.inc.com/profile/centauri-health-solutions,Centauri Health Solutions,centaurihs.com,AZ,848,2694.3302,Health,941,51,2014,1,Phoenix,scottsdale
133,https://www.inc.com/profile/celltrade-ny,CellTrade NY,celltradeny.com,NY,124,2689.6148,Consumer Products & Services,11,2,2015,1,New York City,Hicksville
134,https://www.inc.com/profile/exabeam,Exabeam,exabeam.com,CA,388,2678.5391,Security,274,54,2013,2,San Francisco,San Mateo
135,https://www.inc.com/profile/kinsmen-group,Kinsmen Group,kinsmengroup.com,PA,4,2668.0059,Software,21,5,2015,1,Philadelphia,West Chester
136,https://www.inc.com/profile/owens-recovery-science,Owens Recovery Science,owensrecoveryscience.com,TX,54,2657.4127,Health,6,2,2015,1,"San Antonio, TX",San Antonio
137,https://www.inc.com/profile/winit,WinIt,http://appwinit.com,NY,65,2635.922,Consumer Products & Services,6,2,2014,1,New York City,New York
138,https://www.inc.com/profile/techolution,Techolution,techolution.com,NY,98,2633.9525,IT System Development,176,10,2014,1,New York City,New York
139,https://www.inc.com/profile/solvix-solutions,Solvix Solutions,http://solvixsolutions.com,NJ,204,2623.9495,Computer Hardware,10,2,2013,2,Philadelphia,Marlton
140,https://www.inc.com/profile/lovebug-probiotics,LoveBug Probiotics,http://lovebugprobiotics.com,NY,31,2620.7598,Consumer Products & Services,4,2,2015,1,New York City,New York
141,https://www.inc.com/profile/nationwide-pharmaceutical,Nationwide Pharmaceutical,nationwidepharmaceutical.com,TX,71,2618.0195,Government Services,12,3,2014,1,"San Antonio, TX",San Antonio
142,https://www.inc.com/profile/freedom-forever,Freedom Forever,http://freedomforever.com,CA,1011,2603.3871,Energy,358,84,2013,2,"Inland Empire, CA",Temecula
143,https://www.inc.com/profile/alpha-omega-integration,Alpha Omega Integration,alphaomegaintegration.com,VA,251,2596.3186,Government Services,145,1,2010,2,"Washington, DC",Vienna
145,https://www.inc.com/profile/capital-brand-group,Capital Brand Group,http://capitalbrandgroup.com,MD,35,2564.3741,Construction,16,2,2013,1,"Washington, DC",Silver Spring
146,https://www.inc.com/profile/fedwriters,FedWriters,fedwriters.com,VA,54,2555.657,Government Services,57,1,2010,2,"Washington, DC",Fairfax
147,https://www.inc.com/profile/sethmar-transportation,Sethmar Transportation,sethmar.com,KS,92,2540.4145,Logistics & Transportation,18,1,1999,1,"Kansas City, MO-KS",Overland Park
148,https://www.inc.com/profile/hyperion-partners,Hyperion Partners,hyperionpartners.net,NV,185,2525.5636,Telecommunications,36,3,2012,2,"Las Vegas, NV",Las Vegas
149,https://www.inc.com/profile/arcalea,Arcalea,arcalea.com,IL,28,2514.3021,Advertising & Marketing,12,2,2015,1,Chicago,Chicago
151,https://www.inc.com/profile/waggl,Waggl,waggl.com,CA,44,2482.3452,Software,55,6,2014,1,San Francisco,Sausalito
154,https://www.inc.com/profile/shipmonk,ShipMonk,shipmonk.com,FL,284,2470.116,Logistics & Transportation,350,30,2014,2,Miami,Deerfield Beach
155,https://www.inc.com/profile/brillmediaco,BrillMedia.co,brillmedia.co,CA,4,2465.5724,Advertising & Marketing,5,1,2013,1,Los Angeles,Lake Balboa
156,https://www.inc.com/profile/rocket-insights,Rocket Insights,http://rocketinsights.com,MA,136,2417.9715,Software,58,5,2015,1,Boston,Boston
157,https://www.inc.com/profile/tridant-solutions,Tridant Solutions,tridantsolutions.com,CA,3,2415.7359,Government Services,42,5,2005,2,Los Angeles,Pasadena
160,https://www.inc.com/profile/octopi-brewing,Octopi Brewing,http://octopibrewing.com,WI,49,2383.9486,Manufacturing,36,5,2014,1,"Madison, WI",Waunakee
161,https://www.inc.com/profile/knowbe4,KnowBe4,knowbe4.com,FL,723,2370.3591,Security,650,200,2010,4,Tampa,Clearwater
162,https://www.inc.com/profile/kinect-solar,Kinect Solar,http://kinectsolar.com,TX,133,2358.2483,Energy,8,2,2015,1,Austin,Austin
163,https://www.inc.com/profile/compliancequest,ComplianceQuest,compliancequest.com,FL,25,2356.7776,Software,60,25,2013,1,Tampa,Tampa
164,https://www.inc.com/profile/decisionpoint,DecisionPoint,decisionpointcorp.com,MD,159,2354.4235,IT Management,100,6,2011,1,"Washington, DC",Gaithersburg
165,https://www.inc.com/profile/bombas,Bombas,bombas.com,NY,1008,2345.0086,Consumer Products & Services,63,11,2013,2,New York City,New York
167,https://www.inc.com/profile/tamimi-pharmacy,Tamimi Pharmacy,http://salhabpharmacy.com,FL,155,2313.8369,Health,40,8,2013,1,Tampa,Temple Terrace
168,https://www.inc.com/profile/ad-hoc,Ad Hoc,adhoc.team,MD,531,2305.0499,Government Services,199,2,2014,1,"Washington, DC",Silver Spring
169,https://www.inc.com/profile/valify,Valify,getvalify.com,TX,31,2276.0888,Software,36,7,2014,1,Dallas,Frisco
170,https://www.inc.com/profile/sapper-consulting,Sapper Consulting,sapperconsulting.com,MO,64,2274.4095,Advertising & Marketing,90,6,2014,2,"St. Louis, MO-IL",St. Louis
171,https://www.inc.com/profile/privy,Privy,http://privy.com,MA,3,2262.8641,Advertising & Marketing,30,3,2012,1,Boston,Boston
172,https://www.inc.com/profile/scooch,Scooch,scoochcase.com,IN,57,2248.4713,Consumer Products & Services,8,3,2015,1,"Indianapolis, IN",Noblesville
173,https://www.inc.com/profile/monkedia,Monkedia,monkedia.com,TX,174,2240.0028,Advertising & Marketing,48,2,2014,2,Dallas,Irving
174,https://www.inc.com/profile/upshow,UPshow,upshow.tv,IL,26,2235.9439,Business Products & Services,30,8,2015,1,Chicago,Chicago
175,https://www.inc.com/profile/campuslogic,CampusLogic,campuslogic.com,AZ,142,2233.8331,Software,105,25,2011,3,Phoenix,"Chandler,"
176,https://www.inc.com/profile/pcc-cleaning-and-maintenance,PCC Cleaning and Maintenance,pcccleaning.com,NY,12,2230.9276,Environmental Services,80,40,2015,1,New York City,Brooklyn
177,https://www.inc.com/profile/quirk-creative,Quirk Creative,findyourquirk.com,NY,33,2205.1824,Advertising & Marketing,9,2,2015,1,New York City,Brooklyn
178,https://www.inc.com/profile/tricopian,Tricopian,fuel-rod.com,CA,7,2171.9647,Consumer Products & Services,18,5,2011,1,San Diego,Poway
179,https://www.inc.com/profile/efficient-home-services-of-florida,Efficient Home Services of Florida,ehsfl.com,FL,99,2155.4069,Energy,50,10,2011,1,Tampa,Tampa
180,https://www.inc.com/profile/fitness-cubed,Fitness Cubed,cubii.com,IL,103,2142.2695,Manufacturing,13,3,2014,1,Chicago,Chicago
181,https://www.inc.com/profile/velox-media,Velox Media,veloxmedia.com,ID,31,2142.0754,Advertising & Marketing,41,1,2007,1,"Boise City-Nampa, ID",Boise
183,https://www.inc.com/profile/quadrant-resource,Quadrant Resource,http://quadrantresource.com,WA,128,2122.6612,Software,100,15,2004,2,Seattle,Redmond
184,https://www.inc.com/profile/myhealth,MyHealth,chartrequest.com,GA,27,2116.411,Health,64,12,2015,1,Atlanta,Brookhaven
185,https://www.inc.com/profile/velocity-global,Velocity Global,velocityglobal.com,CO,858,2112.1974,Business Products & Services,103,3,2014,2,Denver,Denver
186,https://www.inc.com/profile/oseth-group,Oseth Group,osethgroup.com,VA,54,2107.0365,Construction,23,1,2015,1,"Washington, DC",Sterling
187,https://www.inc.com/profile/koia,Koia,drinkkoia.com,CA,82,2100.9602,Food & Beverage,15,1,2013,1,Los Angeles,San Diego
188,https://www.inc.com/profile/sifted,Sifted,sifted.co,GA,69,2099.2097,Food & Beverage,142,6,2015,1,Atlanta,Atlanta
190,https://www.inc.com/profile/universal-yums,Universal Yums,http://universalyums.com,NJ,127,2095.6151,Food & Beverage,28,2,2014,1,New York City,Parsippany-Troy Hills
191,https://www.inc.com/profile/bridge-brothers,Bridge Brothers,http://bridgebrothers.com,GA,41,2081.8945,Manufacturing,14,1,2015,1,Atlanta,Atlanta
